"","feature","appearances","targets_covered","coverage_rate","mean_rank","median_rank","mean_theil_u","mean_mi","mean_cramer_v","mean_score","strength_score"
"1","N_REGION_ISO",33,33,1,1.33333333333333,1,0.261136774306897,0.296383646540669,0.436664920019794,0.289263650548319,649
"2","Q223",33,33,1,3.18181818181818,2,0.178760786757752,0.203180528496965,0.363215481992398,0.20453217880298,588
"3","Q290",33,33,1,4.45454545454545,4,0.14731127947225,0.158743329978731,0.329081618381463,0.168917928515116,546
"4","Q267",33,33,1,6.03030303030303,6,0.132496095021675,0.138358016464531,0.312132948515598,0.152218356803924,494
"5","Q268",33,33,1,6.51515151515152,5,0.126625575636745,0.135581991099838,0.306838834343797,0.147333826146378,478
"6","Q266",33,33,1,7.84848484848485,7,0.119453585365846,0.1295739433241,0.298368675143894,0.140381201731127,434
"7","Q272",33,33,1,9.27272727272727,9,0.108708307661254,0.119619565739292,0.281840493213253,0.129294903639865,387
"8","B_COUNTRY",33,33,1,9.93939393939394,9,0.107138403123789,0.116069727844163,0.277198582512714,0.126823818478794,365
"9","Q262",16,16,0.484848484848485,14.5625,15,0.0321426360767228,0.0365012555410337,0.145406689752484,0.0447766272835922,103
"10","Q169",11,11,0.333333333333333,13.7272727272727,14,0.0588721233314725,0.0634380088501311,0.213720954023951,0.0923824184065447,80
"11","Q6",9,9,0.272727272727273,13.5555555555556,15,0.0677418474242257,0.0718504128713294,0.217027733189848,0.0972000704113186,67
"12","Q33",9,9,0.272727272727273,15.1111111111111,16,0.0495282007495455,0.0546004427563803,0.187488716056126,0.0859097282785259,53
"13","Q186",8,8,0.242424242424242,13.125,14.5,0.0704019996955967,0.087604203622228,0.210933388412257,0.0896157997452521,63
"14","Q164",7,7,0.212121212121212,15.5714285714286,17,0.0776962893652889,0.0895711921152312,0.223030672247961,0.0957921984785388,38
"15","Q182",6,6,0.181818181818182,12.5,14.5,0.0797298087247837,0.102006966288956,0.212454479281321,0.0996854230496891,51
"16","Q41",6,6,0.181818181818182,13.1666666666667,15,0.062718526758362,0.0752832538026416,0.209306057428198,0.10881020827906,47
"17","Q37",6,6,0.181818181818182,13.6666666666667,14,0.0690025038478935,0.0887519890009161,0.220925934017903,0.114777838402051,44
"18","Q34",6,6,0.181818181818182,15.5,15,0.0429662844340412,0.0480982690013588,0.184052173514577,0.0760384579136681,33
"19","Q38",5,5,0.151515151515152,12.8,14,0.0736184956443039,0.0909108792052987,0.225610214781793,0.121964458987188,41
"20","Q30",5,5,0.151515151515152,13.8,16,0.0586244814876,0.0624523550038132,0.192385849864499,0.104407372031342,36
"21","Q167",5,5,0.151515151515152,16.2,16,0.054408689294968,0.0541892428278905,0.304398753072025,0.0935972646540384,24
"22","Q176",5,5,0.151515151515152,16.2,15,0.0286998753660575,0.0464393223863471,0.155594634238204,0.046711185359359,24
"23","Q22",5,5,0.151515151515152,17.8,19,0.0378856929248035,0.0362817784831718,0.258090140356813,0.0738233835935118,16
"24","Q110",4,4,0.121212121212121,10.5,9.5,0.0595412165146018,0.0958745273836064,0.214605991736587,0.0859476872975017,42
"25","Q184",4,4,0.121212121212121,10.5,9.5,0.122210560988478,0.158749104663412,0.291264907667076,0.150077558758818,42
"26","Q159",4,4,0.121212121212121,12.25,13,0.0535539085163385,0.0788508373368648,0.196479412421836,0.0754355375530462,35
"27","Q31",4,4,0.121212121212121,13.5,17.5,0.0934382976644927,0.112702058886901,0.27321629961039,0.149284221188693,30
"28","Q134",4,4,0.121212121212121,14,13.5,0.0605939417076013,0.0547764092421961,0.209046953506479,0.0736939831478675,28
"29","Q240",4,4,0.121212121212121,14,13,0.0245011029138019,0.0396919316654354,0.147058215794115,0.0413140628273232,28
"30","Q247",4,4,0.121212121212121,14,14,0.0302604061762007,0.0512088973577758,0.147280826839961,0.0482469955970492,28
"31","Q86",4,4,0.121212121212121,14.75,17,0.0885083708745563,0.111625228940559,0.256114399939923,0.112204031200894,25
"32","Q73",4,4,0.121212121212121,15.75,17,0.062333940741775,0.0762165469770877,0.228127788024121,0.0830781073406034,21
"33","Q120",4,4,0.121212121212121,16,16,0.0284476273272261,0.0468126874420807,0.154006278048777,0.0465130104338376,20
"34","Q241",4,4,0.121212121212121,16.5,17,0.0293875797802186,0.0442225376313057,0.149820789869352,0.0458813881444581,18
"35","Q35",4,4,0.121212121212121,16.75,16.5,0.0447991371980129,0.0486588819667775,0.185024802060144,0.0883311061214657,17
"36","Q74",4,4,0.121212121212121,17.25,18,0.0586234368513536,0.07159356969731,0.224753873182092,0.0791275203382143,15
"37","Q49",4,4,0.121212121212121,18.25,18.5,0.0281840507090834,0.0464925957822173,0.147354639669519,0.0455936731270672,11
"38","Q53",3,3,0.0909090909090909,4.66666666666667,2,0.134618470197916,0.0976645724024685,0.270032966512924,0.1904445379932,49
"39","Q113",3,3,0.0909090909090909,5,2,0.181565390304736,0.20854653918726,0.408003146692426,0.212303510608262,48
