"","target","feature","n_eff","mi","cramer_v","polychor","theil_u","type_feature","type_target","score","rank_theilU","rank_mi","rank_cramer","rank_poly","rank_score","rank"
"1","t_Q19","N_REGION_ISO",4937,0.13529156971105,0.514853932181449,NA,0.293540263837604,"nominal","ordinal",0.268197022434022,1,1,1,31,1,1
"2","t_Q19","Q21",4928,0.11264431053972,0.512524261769431,NA,0.24532384043332,"ordinal","ordinal",0.232240023598851,2,2,2,31,2,2
"3","t_Q19","Q23",4928,0.10726770805797,0.509625583598909,NA,0.233614338524295,"ordinal","ordinal",0.223311473891859,3,3,3,31,3,3
"4","t_Q19","Q223",3730,0.102668984483118,0.457598654318855,NA,0.227361777157022,"nominal","ordinal",0.212977627071034,4,4,5,31,4,4
"5","t_Q19","Q26",4932,0.0991240366088393,0.497263390471285,NA,0.215533265722752,"ordinal","ordinal",0.208783509463432,5,5,4,31,5,5
"6","t_Q19","Q290",4374,0.0851572643469112,0.422377154003963,NA,0.184549837210793,"nominal","ordinal",0.178514797030945,6,6,6,31,6,6
"7","t_Q19","Q266",4600,0.0742102715049979,0.398755176490833,NA,0.162659513767863,"nominal","ordinal",0.1597343073613,7,8,7,31,7,7
"8","t_Q19","Q268",4518,0.0748679152757674,0.395916149546128,NA,0.162615404036826,"nominal","ordinal",0.159621231959439,8,7,8,31,8,8
"9","t_Q19","Q267",4532,0.0741916432690735,0.394999410991668,NA,0.161318519292068,"nominal","ordinal",0.158548545655129,9,9,9,31,9,9
"10","t_Q19","B_COUNTRY",4946,0.0694715339356291,0.384037488442633,NA,0.150892829109294,"nominal","ordinal",0.149780906490529,10,10,10,31,10,10
"11","t_Q19","Q272",4930,0.0636697565091637,0.373302968784312,NA,0.138218330433729,"nominal","ordinal",0.139362222091418,11,11,11,31,11,11
"12","t_Q19","Q25",4931,0.0539141412262767,0.350519686696061,NA,0.117134904040533,"ordinal","ordinal",0.121507153461809,12,12,12,31,12,12
"13","t_Q19","Q20",4916,0.0475492632478502,0.306896400778297,NA,0.103695539461541,"ordinal","ordinal",0.10717174272911,13,13,13,31,13,13
"14","t_Q19","Q33",4922,0.0204241923241737,0.200235357396119,0.309168517974019,0.0443569795361046,"ordinal","ordinal",0.0836818329559286,15,15,15,1,14,14
"15","t_Q19","Q22",4755,0.034803904345865,0.26500862966955,NA,0.0771010438058778,"ordinal","ordinal",0.0832026605542412,14,14,14,31,15,15
"16","t_Q19","Q30",4906,0.01623338887235,0.187412520160145,0.270976823059413,0.0352856290060408,"ordinal","ordinal",0.0718803283872853,18,18,16,4,16,16
"17","t_Q19","Q31",4867,0.0155051872201719,0.177465955382968,0.273716986221418,0.0336385148340025,"ordinal","ordinal",0.0699529592268917,20,20,19,3,17,17
