id,artist,title,brands
36623,Lord Esperanza,Demain,
73253,FouKi,Zayon,Merco
24547,Hotel Paradisio,Sierra,"Glock, Saphir"
61426,Mairo,​eritriste,"Aldi, Lidl, Leader Price, OnlyFans"
35679,Veust,Qui on est,"Blunt, Pirelli, Juventus"
68277,Sadandsolo & Skuna,Pull Up,"Skuna, Sad, Jordan, Heetch"
35491,Rap Fighter Cup,Rap Fighter Cup #3 - Nidpool (Faf Larage) VS Mytoman (Greg Frite),"Winamp, Lexomyl, Valium, Boot Camp, Chimichanga, Rap Fighter"
75310,Aelpéacha,Fais la Passe,Fight Club
40298,Gérard Baste,Ça c’est champion ! / So Good New,"PTT, Birdy Nam Nam, Stade 2, P. Diddy, Sumotoris, Dr Vince, Gérard Baste"
83483,Kaaris,Le prix de la réussite,"2K, Richard Mille"
24062,Hippocampe Fou,Baptême de plongée,
79776,Deen Burbigo,FAIS NOUS VOIR,"Burberry, Veuve Clicquot, Audi"
77441,Benjamin Epps,​​​​la grande désillusion,
60771,La F,Freestyle Rapunchline (RP House #8),"Elouan Raptors, Brr, La fusée"
83443,A2H,Happy Face,Palace Prod
60095,Sopico,Back,"Jack Daniel's, Pokemon, Secret Story"
55364,Cheu-B,YES BABE (Le Sky #7),"Burberry, Patek Phillip"
44994,La Rumeur,Le coffre-fort ne suivra pas le corbillard,
64996,Realo,X6,Bilibili
25336,Sekem x Draqo,Monni,Merco Benz
63413,Benab,Cartel,Instagram
49114,Leo Roi,Bébé pardonne-moi,"MacDo, Autotune Gang"
