id,artist,title,brands
26671,Rob-D,#aveclahaine : Épisode 3,"VF Gang, La Piff, Kangoo, Garou, Ibis, Sacem, Joaquín Guzmán, Piffy, Rari, Paris, Belaire, Narvalo, Rottweiler, Nabilla, Mbappé, La Casa De Papel"
23213,Soolking,Ready or Not #1,Cocaïna
69065,Rozzy,Jacquemüs,"Jacquemüs, Helmut Lang, Rick Owens"
3057,Nakk Mendosa,De temps en temps,"EasyJet, Kouchner, Catherine Zeta-Jones, Luna Park, L'État, Nakk Mendosa"
38355,Gouap,Free Gouap 5,"Gouap, Maz, kush"
17695,Zani Rams,La Vie Ou La Mort (Remix),"Kellogg's, Bang Bros, Juventus, Arma Jacks, Hefty Blacks, Dolly"
19774,Hartigan,Nos rancunes,Gomez Addams
73528,​robdbloc,Long Beach,"Play, Long Beach, Saint James, Caresse Antillaise, Waze"
46461,Beeby,Bouton rouge,Furlax
41725,PNL,Simba II*,"CR, V, C, P, OG Kush, Miami, DD, Meruem, N'DA, Essonne, The World, L.A, Itachi, Bercy, 185, Z double O"
80785,Elh Kmer,Dernière page,Egaré
50423,Zkr,Freestyle Couvre feu OKLMRadio,"Neman, zeeman, ozimen, OCB, Mala, arabica, gamos, Hess"
18801,Chilla,Mélodrame,Benz
30582,Orgasmic & Fuzati,Tupac,Pierre Woodman
17181,Raaash x Gouap,Fala diss,"Neo, Legolas, LUTĒCE"
5581,Freeze Corleone,Bill Gates,"Givenchy, Berlusconi, Bill, Kim, Milito, Phillip Mo', OVG, Larry, Tariq, Osirus, Jacky, Milka, Wiz K, Kim K, NASA, Kixou, BPK, Heenok, CIA, Actavis, Nascar, Fredo"
49453,Dry,Trouble,
23692,Hayce Lemsi,Sniper,"Amazon, Coca, iPhone, Heineken, Kalash"
75476,Aya Nakamura,Fin,Shiruken Music
32806,Bakar (FRA),Mon CV,"Public Enemy, Bakar, Fat Taf"
38005,Nekfeu,1er rôle,"Oscar, Motown"
